2018-06-26 15:21:17,880 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-26 15:21:55,213 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' E:\TEST\TEST1\Spring\MAVEN\Project Configuration\Steps_To_Configure_MVC\ZohoSample\ZohoWeb\pom.xml
2018-06-26 15:21:55,339 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ZohoProject:ZohoWeb:0.0.1-SNAPSHOT @ E:\TEST\TEST1\Spring\MAVEN\Project Configuration\Steps_To_Configure_MVC\ZohoSample\ZohoWeb\pom.xml.
2018-06-26 15:21:56,031 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ZohoWeb/src/main/java
2018-06-26 15:21:56,031 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ZohoWeb/src/main/resources
2018-06-26 15:21:56,031 [Worker-17] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ZohoWeb/src/test/java
2018-06-26 15:21:58,502 [Worker-17] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2018-06-26 15:21:59,004 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: ZohoProject:ZohoSample:0.0.1-SNAPSHOT @ E:\TEST\TEST1\Spring\MAVEN\Project Configuration\Steps_To_Configure_MVC\ZohoSample\pom.xml.
2018-06-26 15:21:59,763 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ZohoProject:ZohoRepo:0.0.1-SNAPSHOT @ E:\TEST\TEST1\Spring\MAVEN\Project Configuration\Steps_To_Configure_MVC\ZohoSample\ZohoRepo\pom.xml.
2018-06-26 15:21:59,872 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ZohoProject:ZohoService:0.0.1-SNAPSHOT @ E:\TEST\TEST1\Spring\MAVEN\Project Configuration\Steps_To_Configure_MVC\ZohoSample\ZohoService\pom.xml.
2018-06-26 15:21:59,933 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ZohoProject:ZohoWeb:0.0.1-SNAPSHOT @ E:\TEST\TEST1\Spring\MAVEN\Project Configuration\Steps_To_Configure_MVC\ZohoSample\ZohoWeb\pom.xml.
2018-06-26 15:22:01,724 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-26 15:22:01,727 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-26 15:22:01,729 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-26 15:22:01,731 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-26 15:22:01,745 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-26 15:22:01,746 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-26 15:22:01,750 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-26 15:22:01,751 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-26 15:22:01,774 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-26 15:22:01,775 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
